"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]"
0,0,0,0
0,1,3.254684,32.58899
0,2,9.100411,38.900707
0,3,15.016573,43.858727
0,4,20.72622,48.501766
0,5,26.201178,52.842785
0,6,31.425564,56.84658
0,7,36.383644,60.521988
0,8,41.067097,63.899117
0,9,45.47623,67.013626
0,10,49.618774,69.89855
0,11,50.25272,39.993736
0,12,48.05726,36.19046
0,13,45.570286,33.586357
0,14,43.086353,31.161098
0,15,40.650894,28.918213
0,18,33.949303,23.564976
0,21,28.538374,19.90817
0,24,24.433844,17.373049
0,27,21.405106,15.582487
0,30,19.192278,14.295095
0,33,17.574577,13.351525
0,36,16.382204,12.644731
0,39,15.490475,12.101861
0,42,14.810105,11.673288
0,45,14.278103,11.32481
0,48,13.850282,11.032839
0,51,13.495871,10.781163
0,54,13.193491,10.55851
0,57,12.928262,10.35702
0,60,12.689813,10.171221
0,63,12.470947,9.997283
0,66,12.266645,9.832506
0,69,12.073353,9.674957
0,72,11.888547,9.523247
0,75,11.710465,9.3763895
0,78,11.537886,9.233684
0,81,11.369945,9.094616
0,84,11.206005,8.958798
0,87,11.045606,8.825934
0,90,10.888334,8.695762
0,93,10.733949,8.568108
0,96,10.582216,8.442812
0,99,10.433008,8.319768
0,102,10.286219,8.198887
0,105,10.1417675,8.080091
0,108,9.999571,7.9633083
0,111,9.859557,7.848471
0,114,9.721652,7.7355137
0,117,9.585802,7.6243834
0,120,9.45196,7.5150323
0,123,9.320086,7.4074173
0,126,9.1901455,7.3015
0,129,9.062101,7.19724
0,132,8.93592,7.0946016
0,135,8.811568,6.993551
0,138,8.689004,6.8940473
0,141,8.568211,6.7960677
0,144,8.4491415,6.6995726
0,147,8.331775,6.6045356
0,150,8.2160845,6.510929
0,153,8.102038,6.4187236
0,156,7.989618,6.327897
0,159,7.8787985,6.2384243
0,162,7.7695556,6.150281
0,165,7.661866,6.0634446
0,168,7.5557084,5.9778924
0,171,7.4510574,5.8936014
0,174,7.34789,5.8105497
0,177,7.246187,5.7287188
0,180,7.145925,5.648086
0,183,7.047077,5.5686293
0,186,6.949623,5.4903293
0,189,6.853552,5.4131722
0,192,6.758834,5.3371353
0,195,6.6654468,5.2621975
0,198,6.573374,5.188344
0,201,6.482601,5.11556
0,204,6.393105,5.043826
0,207,6.3048663,4.9731255
0,210,6.2178693,4.903443
0,213,6.132097,4.834763
0,216,6.0475307,4.767071
0,219,5.964155,4.700351
0,222,5.881952,4.634589
0,225,5.800904,4.56977
0,228,5.720996,4.5058794
0,231,5.642211,4.442904
0,234,5.5645328,4.3808293
0,237,5.487945,4.3196416
0,240,5.412432,4.2593274
0,243,5.3379774,4.199874
0,246,5.264568,4.1412683
0,249,5.192187,4.083498
0,252,5.12082,4.02655
0,255,5.0504527,3.970412
0,258,4.9810715,3.915073
